order_datetime,origin_longitude,origin_latitude,m_order_eta,order_gk,order_status_key,is_driver_assigned_key,cancellations_time_in_seconds,offer_id
08:37:53,-0.972037,51.456781,898.0,3000582816590,4,1,101.0,300050970747.0
07:17:19,-0.971389,51.44927,,3000582766394,4,0,93.0,300050966709.0
07:17:19,-0.971389,51.44927,,3000582766394,4,0,93.0,300050966703.0
07:17:19,-0.971389,51.44927,,3000582766394,4,0,93.0,300050966712.0
07:17:19,-0.971389,51.44927,,3000582766394,4,0,93.0,300050966708.0
14:08:23,-0.973763,51.458671,,3000632271478,4,0,117.0,
17:48:41,-0.968298,51.466217,,3000632371642,4,0,70.0,
08:59:15,-0.974281,51.475314,958.0,3000632147622,4,1,121.0,300052361107.0
08:59:15,-0.974281,51.475314,958.0,3000632147622,4,1,121.0,300052361163.0
08:59:15,-0.974281,51.475314,958.0,3000632147622,4,1,121.0,300052361140.0
08:59:15,-0.974281,51.475314,958.0,3000632147622,4,1,121.0,300052361133.0
22:59:25,-0.956267,51.443196,237.0,3000632496952,4,1,156.0,300052386824.0
22:59:25,-0.956267,51.443196,237.0,3000632496952,4,1,156.0,300052386821.0
22:59:25,-0.956267,51.443196,237.0,3000632496952,4,1,156.0,300052386826.0
22:59:25,-0.956267,51.443196,237.0,3000632496952,4,1,156.0,300052386825.0
22:41:17,-0.963063,51.449616,178.0,3000632496461,4,1,527.0,300052386011.0
22:41:17,-0.963063,51.449616,178.0,3000632496461,4,1,527.0,300052386001.0
22:41:17,-0.963063,51.449616,178.0,3000632496461,4,1,527.0,300052386009.0
22:41:17,-0.963063,51.449616,178.0,3000632496461,4,1,527.0,300052386016.0
17:07:30,-0.962999,51.450598,,3000632347131,9,0,,
18:59:28,-0.989163,51.484478,,3000632396931,9,0,,
08:41:43,-0.957923,51.441124,,3000632146652,9,0,,
08:45:25,-0.966842,51.472315,,3000632146884,9,0,,
01:23:42,-0.944732,51.443863,478.0,3000631970394,4,1,65.0,300052349779.0
01:23:42,-0.944732,51.443863,478.0,3000631970394,4,1,65.0,300052349781.0
01:23:42,-0.944732,51.443863,478.0,3000631970394,4,1,65.0,300052349776.0
01:23:42,-0.944732,51.443863,478.0,3000631970394,4,1,65.0,300052349777.0
01:23:42,-0.944732,51.443863,478.0,3000631970394,4,1,65.0,300052349778.0
01:23:42,-0.944732,51.443863,478.0,3000631970394,4,1,65.0,300052349780.0
19:14:07,-0.94275,51.45527,,3000632397297,4,0,148.0,
15:34:57,-0.955174,51.435582,,3000632321076,4,0,7.0,300052371905.0
07:35:36,-0.958791,51.459481,,3000632120847,4,0,104.0,
20:30:04,-0.971564,51.458022,60.0,3000632445939,4,1,27.0,300052382504.0
20:30:04,-0.971564,51.458022,60.0,3000632445939,4,1,27.0,300052382503.0
20:30:04,-0.971564,51.458022,60.0,3000632445939,4,1,27.0,300052382508.0
08:44:03,-0.974281,51.475314,,3000632146785,9,0,,
22:57:37,-0.957854,51.449262,,3000632496894,4,0,15.0,300052386737.0
18:07:48,-0.962753,51.450808,,3000632372329,4,0,121.0,
17:45:10,-0.975043,51.456599,958.0,3000632371531,4,1,123.0,
08:03:03,-0.982094,51.449709,418.0,3000632121951,4,1,171.0,
22:58:16,-0.957854,51.449262,,3000632496928,4,0,54.0,
03:10:22,-0.933906,51.446975,,3000631995545,4,0,91.0,300052350073.0
03:10:22,-0.933906,51.446975,,3000631995545,4,0,91.0,300052350071.0
03:10:22,-0.933906,51.446975,,3000631995545,4,0,91.0,300052350074.0
03:10:22,-0.933906,51.446975,,3000631995545,4,0,91.0,300052350072.0
03:10:22,-0.933906,51.446975,,3000631995545,4,0,91.0,300052350069.0
03:41:55,-0.932414,51.447308,178.0,3000632020485,4,1,22.0,300052350145.0
08:56:44,-0.974281,51.475314,,3000632147544,4,0,145.0,
14:23:22,-1.061134,51.441809,,3000632295709,4,0,106.0,
16:48:18,-0.953481,51.416397,,3000632346495,9,0,,300052374415.0
16:48:18,-0.953481,51.416397,,3000632346495,9,0,,300052374412.0
16:48:18,-0.953481,51.416397,,3000632346495,9,0,,300052374435.0
16:48:18,-0.953481,51.416397,,3000632346495,9,0,,300052374449.0
21:02:29,-0.986542,51.420305,,3000632446467,4,0,331.0,
00:51:19,-0.932414,51.447308,532.0,3000631456280,4,1,30.0,300052349641.0
14:40:45,-0.982604,51.471714,237.0,3000632296105,4,1,418.0,300052369978.0
14:40:45,-0.982604,51.471714,237.0,3000632296105,4,1,418.0,300052369972.0
14:40:45,-0.982604,51.471714,237.0,3000632296105,4,1,418.0,300052369982.0
17:08:34,-0.970932,51.457899,,3000632347155,4,0,107.0,
17:29:12,-0.991947,51.421997,,3000632370946,4,0,43.0,300052376260.0
17:29:12,-0.991947,51.421997,,3000632370946,4,0,43.0,300052376263.0
